"word","source","corpusfreq","corpusrank","english"
"léibhéal","cm",5,5474,0
"réadúla","cm",5,5475,0
"caoimghín","cm",5,5476,0
"téimid","cm",5,5477,0
"ionadaíochta","cm",5,5478,0
"innealtóireachta","cm",5,5479,0
"maitheas","mm",5,5480,0
"bhfál","cm",5,5481,0
"ndáilcheantair","cm",5,5482,0
"geimhridh","cm",5,5483,0
"chúlú","cm",5,5484,0
"proifisiúnta","mm",5,5485,0
"t-acadamh","cm",5,5486,0
"t-iar-aire","cm",5,5487,0
"gcainteanna","cm",5,5488,0
"mheastacháin","cm",5,5489,0
"deimhneach","mm",5,5490,0
"bhunreachtúil","cm",5,5491,0
"athbheochana","cm",5,5492,0
"aistritheoirí","cm",5,5493,0
"samhlaíocht","mm",5,5494,0
"gcuspóir","cm",5,5495,0
"téamaí","cm",5,5496,0
"téama","mm",5,5497,0
"imeasc","mm",5,5498,0
"suíonn","cm",5,5499,0
"costasaí","cm",5,5500,0
"bagairtí","cm",5,5501,0
"barúil","mm",5,5502,0
"gabhaimid","cm",5,5503,0
"cosáin","cm",5,5504,0
"fhéachtar","cm",5,5505,0
"dheirfiúr","cm",5,5506,0
"fíor-thábhacht","cm",5,5507,0
"eisceachtaí","cm",5,5508,0
"laidin","mm",5,5509,0
"aoisghrúpa","cm",5,5510,0
"manach","mm",5,5511,0
"thosnaíonn","cm",5,5512,0
"an-spéisiúil","cm",5,5513,0
"agallaimh","cm",5,5514,0
"léarscáil","mm",5,5515,0
"mhairfeadh","cm",5,5516,0
"feabhsuithe","cm",5,5517,0
"daingniú","cm",5,5518,0
"mbímid","cm",5,5519,0
"vótóirí","cm",5,5520,0
"rómáin","cm",5,5521,0
"uachtaraí","cm",5,5522,0
"ghrád","cm",5,5523,0
"phróiséas","cm",5,5524,0
"minicí","cm",5,5525,0
"foighneach","mm",5,5526,0
"hinfheistiú","cm",5,5527,0
"iar-bhunoideachais","cm",5,5528,0
"foirgníochta","cm",5,5529,0
"móide","gdoc",5,5530,0
"áirithiú","cm",5,5531,0
"áisiúil","mm",5,5532,0
"shaoráil","cm",5,5533,0
"choimhlint","cm",5,5534,0
"dálaí","cm",5,5535,0
"chuirfí","cm",5,5536,0
"gclub","cm",5,5537,0
"tacaímid","cm",5,5538,0
"ghnéas","cm",5,5539,0
"eagar","mm",5,5540,0
"fhreagraí","cm",5,5541,0
"árd","cm",5,5542,0
"an-difriúil","cm",5,5543,0
"cíoradh","cm",5,5544,0
"luineacháin","cm",5,5545,0
"sóisialacha","cm",5,5546,0
"dáils","cm",5,5547,0
"comhgairdeas","cm",5,5548,0
"déirdre","cm",5,5549,0
"dtosnóidh","cm",5,5550,0
"cumadh","mm",5,5551,0
"buarthaí","cm",5,5552,0
"eachtrannach","mm",5,5553,0
"bhfrainc","cm",5,5554,0
"macgréil","cm",5,5555,0
"bhféadfainn","gdoc",5,5556,0
"gnéas","mm",5,5557,0
"fairsinge","mm",5,5558,0
"oifigiúl","cm",5,5559,0
"naíscoileanna","cm",5,5560,0
"réabhlóideach","mm",5,5561,0
"gcoinneofar","cm",5,5562,0
"acmhainne","cm",5,5563,0
"stratéis","cm",5,5564,0
"spáinne","cm",5,5565,0
"maidí","cm",5,5566,0
"chabhrú","cm",5,5567,0
"chiallódh","cm",5,5568,0
"aturnae","mm",5,5569,0
"míréasúnta","cm",5,5570,0
"géire","mm",5,5571,0
"bhreithimh","cm",5,5572,0
"gaelgóirí","cm",5,5573,0
"pioc","mm",5,5574,0
"liathróid","mm",5,5575,0
"tuairiscíodh","cm",5,5576,0
"díolacháin","cm",5,5577,0
"mí-cheart","cm",5,5578,0
"triúir","cm",5,5579,0
"dochtúra","cm",5,5580,0
"thionscnamh","cm",5,5581,0
"comhphobal","mm",5,5582,0
"n-áit","cm",5,5583,0
"ochtú","mm",5,5584,0
"fíor-áthas","cm",5,5585,0
"ainnis","mm",5,5586,0
"déileála","cm",5,5587,0
"thábhachtacha","cm",5,5588,0
"chursaí","cm",5,5589,0
"dúin","cm",5,5590,0
"smaoinímid","cm",5,5591,0
"ró-dheireanach","cm",5,5592,0
"dhroim","gdoc",5,5593,0
"sábháiltí","cm",5,5594,0
"háisíneachtaí","cm",5,5595,0
"chomrádaí","cm",5,5596,0
"sliotar","mm",5,5597,1
"daoire","cm",5,5598,0
"fhaomhadh","cm",5,5599,0
"bréagach","mm",5,5600,0
"buama","mm",5,5601,0
"mharú","gdoc",5,5602,0
"n-aithnímid","cm",5,5603,0
"n-aontódh","cm",5,5604,0
"coigiltí","cm",5,5605,0
"gcaitear","cm",5,5606,0
"difriúl","cm",5,5607,0
"bhaoil","cm",5,5608,0
"dúnmharuithe","cm",5,5609,0
"míchothrom","mm",5,5610,0
"bealaigh","mm",5,5611,0
"feabhsúcháin","cm",5,5612,0
"trioblóid","mm",5,5613,0
"fáil–green","cm",5,5614,0
"ruarí","cm",5,5615,0
"paisean","mm",5,5616,0
"noiméid","cm",5,5617,0
"taiscí","cm",5,5618,0
"dilís","cm",5,5619,0
"mealláin","cm",5,5620,0
"capall","mm",5,5621,0
"fáil-the","cm",5,5622,0
"huafásach","cm",5,5623,0
"bhaineamar","cm",5,5624,0
"huigín","cm",5,5625,0
"fianna-fáil-led","cm",5,5626,0
"bhful","cm",5,5627,0
"iarla","mm",5,5628,0
"ábaltacht","mm",5,5629,0
"timpistí","cm",5,5630,0
"iata","mm",5,5631,0
"cumhaill","cm",5,5632,0
"déirce","cm",5,5633,0
"pinsinéirí","cm",5,5634,0
"athar","gdoc",5,5635,0
"anró","mm",5,5636,0
"fuílleach","mm",5,5637,0
"fomhair","cm",5,5638,0
"dtreoirlínte","cm",5,5639,0
"fúinn","cm",5,5640,0
"adhmháil","cm",5,5641,0
"reáchtáladh","cm",5,5642,0
"lúil","cm",5,5643,0
"chríochnúil","cm",5,5644,0
"shaolré","cm",5,5645,0
"láidreoidh","cm",5,5646,0
"ró-dheacair","cm",5,5647,0
"sáinn","mm",5,5648,0
"chinntíonn","cm",5,5649,0
"príomhúil","mm",5,5650,0
"siollabas","mm",5,5651,0
"ró-dhéanach","cm",5,5652,0
"céatadáin","cm",5,5653,0
"macnamh","cm",5,5654,0
"bhradáin","cm",5,5655,0
"mhothaigh","gdoc",5,5656,0
"ghátair","cm",5,5657,0
"ofráil","mm",5,5658,0
"gríosadh","cm",5,5659,0
"iomláin","cm",5,5660,0
"fáiler","cm",5,5661,0
"páraic","cm",5,5662,0
"bhilliún","cm",5,5663,0
"fhéadfaí","gdoc",5,5664,0
"idirlíne","cm",5,5665,0
"dréacht-reachtaíocht","cm",5,5666,0
"roghnófar","cm",5,5667,0
"comhoibrithe","cm",5,5668,0
"tarraingíodh","cm",5,5669,0
"an-chúramach","cm",5,5670,0
"ceathair","mm",5,5671,0
"shaoil","gdoc",5,5672,0
"pádraigín","cm",5,5673,0
"mínitheach","cm",5,5674,0
"deighleáil","cm",5,5675,0
"ualaigh","mm",5,5676,0
"dtáillí","cm",5,5677,0
"bhfaighfidh","cm",5,5678,0
"dhéanaim","cm",5,5679,0
"gcáiníocóirí","cm",5,5680,0
"thomhas","cm",5,5681,0
"conspóide","cm",5,5682,0
"an-bhrú","cm",5,5683,0
"mhíchíl","cm",5,5684,0
"breathnaigh","mm",5,5685,0
"ndúnfar","cm",5,5686,0
"ceap","mm",5,5687,0
"mhullach","gdoc",5,5688,0
"aireach","mm",5,5689,0
"dorchadas","mm",5,5690,0
"an-difríocht","cm",5,5691,0
"gcuirfinn","cm",5,5692,0
"gheobhair","cm",5,5693,0
"chomhchaighdeán","cm",5,5694,0
"choinníonn","cm",5,5695,0
"scátheagraíocht","cm",5,5696,0
"amharclann","mm",5,5697,0
"fóillíochta","cm",5,5698,0
"ríomhphoist","cm",5,5699,0
"dóigheanna","cm",5,5700,0
"geataí","cm",5,5701,0
"gcontaetha","cm",5,5702,0
"scansáil","cm",5,5703,0
"neamhshuim","mm",5,5704,0
"solúbtha","mm",5,5705,0
"gcúis","cm",5,5706,0
"mín","mm",5,5707,0
"ceánna","cm",5,5708,0
"dúmháil","cm",5,5709,0
"easpórtála","cm",5,5710,0
"ngníomhaíochtaí","cm",5,5711,0
"forfheidhmiú","cm",5,5712,0
"íomhá","mm",5,5713,0
"fondúireacht","mm",5,5714,0
"banríon","mm",5,5715,0
"paistí","cm",5,5716,0
"ngaeilgeoirí","cm",5,5717,0
"thaitin","gdoc",5,5718,0
"paróistí","cm",5,5719,0
"garbháin","cm",5,5720,0
"cheistniú","cm",5,5721,0
"hidéil","cm",5,5722,0
"hálainn","cm",5,5723,0
"fuinniúil","mm",5,5724,0
"cilliní","cm",5,5725,0
"gceannaireacht","cm",5,5726,0
"tsuímh","cm",5,5727,0
"poblacht","mm",5,5728,0
"treise","mm",5,5729,0
"baboró","cm",5,5730,0
"an-taithí","cm",5,5731,0
"bhuille","cm",5,5732,0
"gceapfaí","cm",5,5733,0
"bhreathnaigh","cm",5,5734,0
"ciorcal","mm",5,5735,0
"ián","cm",5,5736,0
"mapa","mm",5,5737,0
"amhlaigh","cm",5,5738,0
"dhúin","cm",5,5739,0
"gníomhaíocht","mm",5,5740,0
"seachtóidí","cm",5,5741,0
"dhá-theangach","cm",5,5742,0
"n-iomlán","cm",5,5743,0
"snámh","mm",5,5744,0
"aontaímid","cm",5,5745,0
"úsáidfear","cm",5,5746,0
"ús","mm",5,5747,0
"scaoilte","cm",5,5748,0
"foirmeálta","cm",5,5749,0
"mbó","cm",5,5750,0
"anall","mm",5,5751,0
"mhír","cm",5,5752,0
"deimhníonn","cm",5,5753,0
"baoill","cm",5,5754,0
"bheifear","cm",5,5755,0
"fhiafraí","cm",5,5756,0
"tógfar","cm",5,5757,0
"fhoclóir","cm",5,5758,0
"n-ardóidh","cm",5,5759,0
"an-ghnóthach","cm",5,5760,0
"bhrónach","cm",5,5761,0
"teoiriciúil","mm",5,5762,0
"naíonáin","cm",5,5763,0
"litriú","mm",5,5764,0
"foilsiúcháin","cm",5,5765,0
"spéiseanna","cm",5,5766,0
"lár-ionad","cm",5,5767,0
"bhruiséal","cm",5,5768,0
"íslithe","cm",5,5769,0
"foscadh","mm",5,5770,0
"sráide","gdoc",5,5771,0
"fóirdheontais","cm",5,5772,0
"bhunmhaoiniú","cm",5,5773,0
"féins","cm",5,5774,0
"trátha","cm",5,5775,0
"tchímid","cm",5,5776,0
"cora","mm",5,5777,0
"nguthán","cm",5,5778,0
"soiléireachta","cm",5,5779,0
"t-aistriúchán","cm",5,5780,0
"thánaisteach","cm",5,5781,0
"laghdóidh","cm",5,5782,0
"tsolúbthacht","cm",5,5783,0
"gcaillfidh","cm",5,5784,0
"dtaithí","cm",5,5785,0
"cló","mm",5,5786,0
"discréid","cm",5,5787,0
"oileánaigh","cm",5,5788,0
"ndúchas","cm",5,5789,0
"dúlra","mm",5,5790,0
"conraitheoirí","cm",5,5791,0
"innealtóir","mm",5,5792,0
"mbreithiúnas","cm",5,5793,0
"breathnóidh","cm",5,5794,0
"draíocht","mm",5,5795,0
"amadáns","cm",5,5796,0
"bhfeidhmeannacht","cm",5,5797,0
"domhnall","cm",5,5798,0
"leithscéalta","cm",5,5799,0
"cearnóg","mm",5,5800,0
"mháirt","cm",5,5801,0
"dhéag","gdoc",5,5802,0
"glic","mm",5,5803,0
"cuimsíonn","cm",5,5804,0
"measúnachta","cm",5,5805,0
"phráinn","cm",5,5806,0
"fhilíocht","cm",5,5807,0
"dtacóidh","cm",5,5808,0
"bard","mm",5,5809,1
"théim","cm",5,5810,0
"babhta","mm",5,5811,0
"cliste","mm",5,5812,0
"deirfiúracha","cm",5,5813,0
"leacht","mm",5,5814,0
"dímheas","mm",5,5815,0
"bónais","cm",5,5816,0
"éireann-irish","cm",5,5817,0
"cuív’s","cm",5,5818,0
"nglúnta","cm",5,5819,0
"thógamar","cm",5,5820,0
"mórshiúl","mm",5,5821,0
"chraoltóir","cm",5,5822,0
"mainistir","mm",5,5823,0
"gcomhlíonadh","cm",5,5824,0
"mithid","mm",5,5825,0
"cleas","mm",5,5826,0
"thacóidh","cm",5,5827,0
"comhordaithe","cm",5,5828,0
"bisiúil","mm",5,5829,0
"hearcaíochta","cm",5,5830,0
"ciliméadar","mm",5,5831,0
"feiceálach","mm",5,5832,0
"bhfógraí","cm",5,5833,0
"tiarnaí","cm",5,5834,0
"damhsa","mm",5,5835,0
"ingearán","cm",5,5836,0
"t-ingearán","cm",5,5837,0
"spotaí","cm",5,5838,0
"réiteodh","cm",5,5839,0
"cháilithe","cm",5,5840,0
"lánúin","mm",5,5841,0
"théarmaí","cm",5,5842,0
"rímhaith","cm",5,5843,0
"dorcha","mm",5,5844,0
"bainisteoirí","cm",5,5845,0
"gcuan","cm",5,5846,0
"cheadaíonn","cm",5,5847,0
"imfhálaithe","cm",5,5848,0
"bhforálacha","cm",5,5849,0
"seisiúin","cm",5,5850,0
"thurasóireacht","cm",5,5851,0
"mheánioncam","cm",5,5852,0
"infheistíochtaí","cm",5,5853,0
"leoraí","mm",5,5854,0
"bolscaireacht","mm",5,5855,0
"aerstráiche","cm",5,5856,0
"torc","mm",5,5857,0
"tiománaithe","cm",5,5858,0
"ocras","mm",5,5859,0
"rathúlacht","cm",5,5860,0
"gceangal","cm",5,5861,0
"fíorshásta","cm",5,5862,0
"thuilleamh","cm",5,5863,0
"shóisearaigh","cm",5,5864,0
"uafáis","cm",5,5865,0
"chuspóirí","cm",5,5866,0
"gcomóradh","cm",5,5867,0
"mheánscoileanna","cm",5,5868,0
"taoisech","cm",5,5869,0
"gcustaiméirí","cm",5,5870,0
"dréimire","mm",5,5871,0
"gob","mm",5,5872,1
"sciatháin","cm",5,5873,0
"dhobhogtha","cm",5,5874,0
"ambasadóir","mm",5,5875,0
"freagróidh","cm",5,5876,0
"bhforbrófar","cm",5,5877,0
"hainmniúchán","cm",5,5878,0
"crógacht","mm",5,5879,0
"athlonnú","cm",5,5880,0
"liobáin","cm",5,5881,0
"réamhscoileanna","cm",5,5882,0
"bhfianna","cm",5,5883,0
"sheanadóir","cm",5,5884,0
"n-éileamh","cm",5,5885,0
"tabhachtaí","cm",5,5886,0
"gradam","mm",5,5887,0
"fóirdheontas","mm",5,5888,0
"bunstruchtúir","cm",5,5889,0
"pléifidh","cm",5,5890,0
"naoú","cm",5,5891,0
"húinéir","cm",5,5892,0
"réaltín","cm",5,5893,0
"staon","mm",5,5894,0
"caillteanas","mm",5,5895,0
"cráite","mm",5,5896,0
"cúnta","cm",5,5897,0
"garpháistí","cm",5,5898,0
"ruadhán","cm",5,5899,0
"réamhscolaíocht","cm",5,5900,0
"mhuintearas","cm",5,5901,0
"fíor-fháilte","cm",5,5902,0
"mhid","cm",5,5903,0
"phríomhchathair","cm",5,5904,0
"cearúil","cm",5,5905,0
"gcaitheadh","cm",5,5906,0
"réseau","cm",5,5907,0
"fraoigh","cm",5,5908,0
"gcarna","cm",5,5909,0
"coill","mm",5,5910,0
"dúbailt","mm",5,5911,0
"mhuirlinne","cm",5,5912,0
"cúigiú","mm",5,5913,0
"hárais","cm",5,5914,0
"loscadh","mm",5,5915,0
"dearadh","mm",5,5916,0
"thromchúiseach","cm",5,5917,0
"thelé","cm",5,5918,0
"cruit","mm",5,5919,0
"mionsonraí","cm",5,5920,0
"ciallmhaire","cm",5,5921,0
"gceanneagraíochtaí","cm",5,5922,0
"fíor-iarracht","cm",5,5923,0
"dún-laoghaire","cm",5,5924,0
"róisínand","cm",5,5925,0
"gceol","cm",5,5926,0
"gcuideachtaí","cm",5,5927,0
"abraidís","cm",5,5928,0
"slis","mm",5,5929,0
"fhaillí","cm",5,5930,0
"sean-nós","mm",5,5931,0
"earcaítear","cm",5,5932,0
"hurlabhraithe","cm",5,5933,0
"cheadúnas","cm",5,5934,0
"chaidreamh","cm",5,5935,0
"bhunstruchtúr","cm",5,5936,0
"comhaontuithe","cm",5,5937,0
"fuaim","mm",5,5938,0
"thomhais","cm",5,5939,0
"thionóntachtaí","cm",5,5940,0
"camhs-specific","cm",5,5941,0
"chónaithe","cm",5,5942,0
"lánaí","cm",5,5943,0
"bhunlíne","cm",5,5944,0
"n-oifigí","cm",5,5945,0
"diongbháilte","mm",5,5946,0
"uasdátú","cm",5,5947,0
"díshealbhú","cm",5,5948,0
"goilliúnach","mm",5,5949,0
"bhforéigean","cm",5,5950,0
"feisirí","cm",5,5951,0
"chliantchomhlachtaí","cm",5,5952,0
"páirceáil","mm",5,5953,0
"tranglam","mm",5,5954,0
"féadfar","cm",5,5955,0
"b’éigean","cm",5,5956,0
"fónamh","mm",5,5957,0
"púca","mm",5,5958,0
"osraí","cm",5,5959,0
"feirmeoir","mm",5,5960,0
"chomhpháirtíocht","cm",5,5961,0
"chóiriú","cm",5,5962,0
"dáibhís","cm",5,5963,0
"bhraith","gdoc",5,5964,0
"díolúintí","cm",5,5965,0
"d’éist","cm",5,5966,0
"ard-stiúrthóir","cm",5,5967,0
"luathbhlianta","cm",5,5968,0
"chú","cm",5,5969,0
"dráma","mm",5,5970,0
"gcoróinvíreas","cm",5,5971,0
"garbhán","cm",5,5972,0
"dtithíocht","cm",5,5973,0
"vacsaíní","cm",5,5974,0
"sbhi","cm",5,5975,0
"aráchais","cm",5,5976,0
"réamhluaite","cm",5,5977,0
"mb’fhéidir","cm",5,5978,0
"chlúdódh","cm",5,5979,0
"amhara","cm",5,5980,0
"n-éistfidh","cm",5,5981,0
"ngnólachtaí","cm",5,5982,0
"soláthróirí","cm",5,5983,0
"charbóin","cm",5,5984,0
"léigear","mm",5,5985,0
"huafás","cm",5,5986,0
"tháirgí","cm",5,5987,0
"hainiféin","cm",5,5988,0
"gcraoslach","cm",5,5989,0
"naíscoil","mm",5,5990,0
"murchú’s","cm",5,5991,0
"théitear","cm",5,5992,0
"taraifí","cm",5,5993,0
"cineáltas","mm",5,5994,0
"shleibhe","cm",5,5995,0
"fholmha","cm",5,5996,0
"phalaistín","cm",5,5997,0
"bhfo-alt","cm",5,5998,0
"aoibh","mm",5,5999,0
"tonn","mm",5,6000,0
"míshásúil","cm",4,6001,0
"glasraí","cm",4,6002,0
"an-mhíshásta","cm",4,6003,0
"coimisiúin","cm",4,6004,0
"faoinar","cm",4,6005,0
"chéadaoin","cm",4,6006,0
"h-údaráis","cm",4,6007,0
"cor","mm",4,6008,1
"oráid","cm",4,6009,0
"coiriúil","mm",4,6010,0
"chomhghairdeachas","cm",4,6011,0
"ghardaí","cm",4,6012,0
"substaint","mm",4,6013,0
"lán-tacaíocht","cm",4,6014,0
"dtoghcháin","cm",4,6015,0
"oícheanta","cm",4,6016,0
"chabhrach","cm",4,6017,0
"bhíá","cm",4,6018,0
"heasnaimh","cm",4,6019,0
"thosaíochtaí","cm",4,6020,0
"t-idirdhealú","cm",4,6021,0
"an-óg","cm",4,6022,0
"liricí","cm",4,6023,0
"mbunófaí","cm",4,6024,0
"uatha","mm",4,6025,0
"tarraingteach","mm",4,6026,0
"smaoineodh","cm",4,6027,0
"treorach","mm",4,6028,0
"bhfuileamar","cm",4,6029,0
"dlúthdhiosca","cm",4,6030,0
"lúb","mm",4,6031,0
"pléitear","cm",4,6032,0
"an-saibhir","cm",4,6033,0
"iomad","mm",4,6034,0
"fhéiniúlacht","cm",4,6035,0
"scríbhneoireacht","mm",4,6036,0
"gcuirimid","cm",4,6037,0
"mhodh","cm",4,6038,0
"héisteacht","cm",4,6039,0
"oifigúla","cm",4,6040,0
"suímh","cm",4,6041,0
"chór","cm",4,6042,0
"thragóid","cm",4,6043,0
"bpláinéad","cm",4,6044,0
"an-bháúil","cm",4,6045,0
"tseafóid","cm",4,6046,0
"mholamar","cm",4,6047,0
"aonú","cm",4,6048,0
"haois","gdoc",4,6049,0
"méá","cm",4,6050,0
"meáite","cm",4,6051,0
"fhoilsítear","cm",4,6052,0
"craobhscaoileadh","cm",4,6053,0
"shocraíonn","cm",4,6054,0
"cháisc","cm",4,6055,0
"sláintiúil","mm",4,6056,0
"gcosnaíonn","cm",4,6057,0
"infheisteoirí","cm",4,6058,0
"alltacht","mm",4,6059,0
"gluaiseachtaí","cm",4,6060,0
"hospidéal","cm",4,6061,0
"cluiche","mm",4,6062,0
"aithin","mm",4,6063,0
"chum","gdoc",4,6064,1
"ceartú","mm",4,6065,0
"bhunaíonn","cm",4,6066,0
"huimh","cm",4,6067,0
"dheirfiúracha","cm",4,6068,0
"dheartháireacha","cm",4,6069,0
"ró","mm",4,6070,0
"coiriúlachta","cm",4,6071,0
"fáiltiú","mm",4,6072,0
"haontachtóirí","cm",4,6073,0
"chiontaí","cm",4,6074,0
"dtíre","cm",4,6075,0
"crith","mm",4,6076,0
"mhí-úsáid","cm",4,6077,0
"n-iascairí","cm",4,6078,0
"iascaire","mm",4,6079,0
"ndéanfainn","cm",4,6080,0
"tuaraimí","cm",4,6081,0
"nochtú","cm",4,6082,0
"laghdófar","cm",4,6083,0
"dhéanadh","gdoc",4,6084,0
"darna","mm",4,6085,0
"gcló","gdoc",4,6086,0
"hinstitiúid","cm",4,6087,0
"deifriú","cm",4,6088,0
"ua","mm",4,6089,0
"míorúilt","mm",4,6090,0
"t-uachtarán","cm",4,6091,0
"satailíte","cm",4,6092,0
"gcaol","cm",4,6093,0
"taitnimh","cm",4,6094,0
"éigeantacht","cm",4,6095,0
"drámaíochta","cm",4,6096,0
"mhúinteoireacht","cm",4,6097,0
"fhóid","cm",4,6098,0
"ardaím","cm",4,6099,0
"rómhinic","cm",4,6100,0
"dtuairiscí","cm",4,6101,0
"hiriseoirí","cm",4,6102,0
"gcailliúint","cm",4,6103,0
"teibí","mm",4,6104,0
"shoiléire","cm",4,6105,0
"bhfacthas","cm",4,6106,0
"léitear","cm",4,6107,0
"seabhac","mm",4,6108,0
"eachtraí","gdoc",4,6109,0
"hailpín","cm",4,6110,0
"tógálaithe","cm",4,6111,0
"tionsclaíocht","mm",4,6112,0
"mhionlach","cm",4,6113,0
"mháire","gdoc",4,6114,0
"básaithe","cm",4,6115,0
"fhoghlaimíonn","cm",4,6116,0
"bhféachfadh","cm",4,6117,0
"ndéanfaidís","cm",4,6118,0
"eabhrais","mm",4,6119,0
"ró-mhór","cm",4,6120,0
"cheannaigh","gdoc",4,6121,0
"chonspóid","cm",4,6122,0
"tarraingíonn","cm",4,6123,0
"thugadh","gdoc",4,6124,0
"bhlascaod","cm",4,6125,0
"théama","cm",4,6126,0
"haoirí","cm",4,6127,0
"gníomhairí","cm",4,6128,0
"meicníocht","mm",4,6129,0
"bheoláin","cm",4,6130,0
"compordaí","cm",4,6131,0
"gaelcoláistí","cm",4,6132,0
"híseal","cm",4,6133,0
"diúltiú","cm",4,6134,0
"fheirtéaraigh","cm",4,6135,0
"staidéarach","cm",4,6136,0
"mballraíocht","cm",4,6137,0
"mhaighin","cm",4,6138,0
"thaitníonn","cm",4,6139,0
"rial","mm",4,6140,1
"n-athrófar","cm",4,6141,0
"rí-mhaith","cm",4,6142,0
"dhlíthe","cm",4,6143,0
"caipitiúil","cm",4,6144,0
"bhuan","cm",4,6145,0
"gcampas","cm",4,6146,0
"láithreáin","cm",4,6147,0
"toibín","cm",4,6148,0
"thábhachtaigh","cm",4,6149,0
"sholáthair","cm",4,6150,0
"smachtú","cm",4,6151,0
"cré","mm",4,6152,0
"preas","mm",4,6153,0
"ceannródaíoch","mm",4,6154,0
"fhuinneamh","cm",4,6155,0
"céasta","mm",4,6156,0
"bhochtanas","cm",4,6157,0
"cód","mm",4,6158,0
"dháta","cm",4,6159,0
"brolcháin","cm",4,6160,0
"taréis","cm",4,6161,0
"fóir","mm",4,6162,0
"chruthóidh","cm",4,6163,0
"ndíol","cm",4,6164,0
"seánad","cm",4,6165,0
"sealúchais","cm",4,6166,0
"íosa","mm",4,6167,0
"uchtú","cm",4,6168,0
"héireannaigh","cm",4,6169,0
"eisíodh","cm",4,6170,0
"bhliana","cm",4,6171,0
"scéala","mm",4,6172,0
"neamhrialta","mm",4,6173,0
"árdú","cm",4,6174,0
"gníomhacha","cm",4,6175,0
"aifreann","mm",4,6176,0
"bodhar","mm",4,6177,0
"phós","gdoc",4,6178,0
"pictiúir","gdoc",4,6179,0
"moilleadóireacht","mm",4,6180,0
"stampa","mm",4,6181,0
"gcáineadh","cm",4,6182,0
"gcuideodh","cm",4,6183,0
"críonna","mm",4,6184,0
"thiománaithe","cm",4,6185,0
"bhéinn","cm",4,6186,0
"romhaim","cm",4,6187,0
"stadás","cm",4,6188,0
"n-athraíonn","cm",4,6189,0
"reachtú","cm",4,6190,0
"substaintiúla","cm",4,6191,0
"fáil-dominated","cm",4,6192,0
"sásúla","cm",4,6193,0
"cúngú","cm",4,6194,0
"bhíothas","cm",4,6195,0
"iondúil","mm",4,6196,0
"gcúnamh","cm",4,6197,0
"féachfar","cm",4,6198,0
"chruthaíodh","cm",4,6199,0
"feis","mm",4,6200,0
"morán","cm",4,6201,0
"seirbhisí","cm",4,6202,0
"thógála","cm",4,6203,0
"n-ospidéal","cm",4,6204,0
"mhúnlú","cm",4,6205,0
"mhilliúin","cm",4,6206,0
"réamhrá","mm",4,6207,0
"seascaidí","cm",4,6208,0
"chomhlíon","cm",4,6209,0
"taoiseach-in-waiting","cm",4,6210,0
"pharlaimintí","cm",4,6211,0
"hargóinte","cm",4,6212,0
"bhróid","cm",4,6213,0
"neamhspleáigh","cm",4,6214,0
"cion","mm",4,6215,0
"cum","mm",4,6216,1
"saoirsí","cm",4,6217,0
"freastalaíonn","cm",4,6218,0
"mbráithre","cm",4,6219,0
"boroimhe","cm",4,6220,0
"oilibhéir","cm",4,6221,0
"démarche","cm",4,6222,0
"tírdhreach","mm",4,6223,0
"nua-shéalainn","cm",4,6224,0
"grupaí","cm",4,6225,0
"n-athróidh","cm",4,6226,0
"deifre","mm",4,6227,0
"mhéadaíonn","cm",4,6228,0
"heacnamaíochta","cm",4,6229,0
"aerstráice","cm",4,6230,0
"éisteann","cm",4,6231,0
"namhaid","mm",4,6232,0
"páirceanna","cm",4,6233,0
"glanadh","gdoc",4,6234,0
"gcoimeádtar","cm",4,6235,0
"finnéithe","cm",4,6236,0
"société","cm",4,6237,0
"chomhtháite","cm",4,6238,0
"páirtnéireachtaí","cm",4,6239,0
"ndíreodh","cm",4,6240,0
"móimint","cm",4,6241,0
"néireann","cm",4,6242,0
"bhainc","cm",4,6243,0
"ceadaítear","cm",4,6244,0
"marófar","cm",4,6245,0
"gceannaire","cm",4,6246,0
"beoláin","cm",4,6247,0
"fháíl","cm",4,6248,0
"tosaíonn","cm",4,6249,0
"bhraitheann","cm",4,6250,0
"luacháil","mm",4,6251,0
"bhaincéirí","cm",4,6252,0
"mbannaí","cm",4,6253,0
"athróidh","cm",4,6254,0
"joaquín","cm",4,6255,0
"scanradh","mm",4,6256,0
"tuairín","cm",4,6257,0
"huigínn","cm",4,6258,0
"raúl","cm",4,6259,0
"buitléar","cm",4,6260,0
"bharraigh","cm",4,6261,0
"cheadaítear","cm",4,6262,0
"fhiosrúchán","cm",4,6263,0
"tuile","mm",4,6264,0
"ríthábhachtacha","cm",4,6265,0
"deputyó","cm",4,6266,0
"cruthóidh","cm",4,6267,0
"mhor","cm",4,6268,0
"cnáimhseachais","cm",4,6269,0
"duinnínigh","cm",4,6270,0
"bunófar","cm",4,6271,0
"chaoimhín","cm",4,6272,0
"bhailíonn","cm",4,6273,0
"díríodh","cm",4,6274,0
"mí-oiriúnach","mm",4,6275,0
"chomharchumann","cm",4,6276,0
"cáinte","cm",4,6277,0
"teitheadh","mm",4,6278,0
"impireacht","mm",4,6279,0
"acadaimh","cm",4,6280,0
"bhfothoghchán","cm",4,6281,0
"iarr","mm",4,6282,0
"dhath","gdoc",4,6283,0
"dodhéanta","mm",4,6284,0
"mhaíomh","cm",4,6285,0
